10.0.40.42,10.0.102.96,,,, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%, eSim(0.0001)=97.85%, eSim(10)=100.00%
10.1.34.147,10.5.71.151,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.00%, eSim(10)=100.00%
10.0.97.193,10.2.176.170,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.40%, eSim(10)=100.00%
10.0.4.251,10.0.4.252,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.20%, eSim(10)=100.00%
10.0.6.136,10.4.61.83,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=92.25%, eSim(10)=100.00%
10.0.6.136,10.4.61.83,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=93.50%, eSim(10)=100.00%
10.0.6.136,10.4.61.83,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=89.49%, eSim(10)=100.00%
10.0.6.136,10.4.61.83,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=92.70%, eSim(10)=100.00%
10.0.0.227,10.0.15.185,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.20%, eSim(10)=100.00%
10.0.10.3,10.0.109.142,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.50%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.50%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.40%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.65%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.65%, eSim(10)=100.00%
10.0.2.53,10.1.27.100,,,, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%, eSim(0.0001)=99.00%, eSim(10)=100.00%
10.0.40.42,10.0.102.96,,,, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%, eSim(0.0001)=97.85%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=90.75%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=87.19%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=93.85%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=92.20%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=89.64%, eSim(10)=100.00%
10.0.0.108,10.1.157.108,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=94.15%, eSim(10)=100.00%
10.0.0.203,10.0.3.117,,,, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%, eSim(0.0001)=98.35%, eSim(10)=100.00%
10.0.11.86,10.2.82.23,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=97.10%, eSim(10)=100.00%
10.0.1.28,10.0.1.31,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.0.1.28,10.0.1.31,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.0.29,10.2.204.55,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=86.09%, eSim(10)=100.00%
10.0.0.91,10.0.10.235,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.75%, eSim(10)=100.00%
