10.0.54.114,10.4.110.66,,,1919,23,,, eSim(0.01)=87.47%, eSim(0.2)=97.91%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.5.246,10.3.235.96,,,80,1697,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=33.33%, eSim(>=2.5)=66.67%
10.0.5.246,10.3.235.96,,,80,1697,,, eSim(0.01)=79.10%, eSim(0.2)=88.06%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.5.246,10.3.235.96,,,80,1697,,, eSim(0.01)=75.68%, eSim(0.2)=81.08%, eSim(2.5)=97.30%, eSim(>=2.5)=2.70%
10.0.5.246,10.3.235.96,,,80,1697,,, no or not enough (<=2) retransmissions existent
10.0.5.246,10.3.235.96,,,80,1697,,, no or not enough (<=2) retransmissions existent
10.0.5.246,10.3.235.96,,,80,1697,,, no or not enough (<=2) retransmissions existent
10.0.5.246,10.3.235.96,,,80,1697,,, no or not enough (<=2) retransmissions existent
10.0.5.246,10.3.235.96,,,80,1697,,, eSim(0.01)=59.26%, eSim(0.2)=62.96%, eSim(2.5)=96.30%, eSim(>=2.5)=3.70%
10.0.5.246,10.3.235.96,,,80,1697,,, eSim(0.01)=85.71%, eSim(0.2)=85.71%, eSim(2.5)=96.43%, eSim(>=2.5)=3.57%
10.0.5.246,10.3.235.96,,,80,1697,,, no or not enough (<=2) retransmissions existent
10.0.0.233,10.0.36.174,,,1387,25,,, eSim(0.01)=63.21%, eSim(0.2)=94.34%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.1.92.89,10.2.201.181,,,3197,5631,,, eSim(0.01)=98.93%, eSim(0.2)=99.31%, eSim(2.5)=99.94%, eSim(>=2.5)=0.06%
10.1.92.89,10.2.201.181,,,3197,5631,,, eSim(0.01)=98.58%, eSim(0.2)=99.08%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.12.233,10.1.31.179,,,80,1190,,, eSim(0.01)=72.54%, eSim(0.2)=95.07%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.8.70,10.1.47.104,,,110,1055,,, eSim(0.01)=98.45%, eSim(0.2)=99.32%, eSim(2.5)=99.90%, eSim(>=2.5)=0.10%
10.0.6.121,10.0.143.72,,,10018,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.6.121,10.0.143.72,,,10018,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.6.121,10.0.143.72,,,10018,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.1.146,10.4.20.183,,,1061,5555,,, eSim(0.01)=46.88%, eSim(0.2)=81.25%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.25.159,10.2.203.181,,,80,1025,,, eSim(0.01)=94.74%, eSim(0.2)=94.74%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.25.159,10.2.203.181,,,80,1025,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=0.00%, eSim(>=2.5)=100.00%
10.0.25.159,10.2.203.181,,,80,1025,,, no or not enough (<=2) retransmissions existent
10.1.139.46,10.2.43.25,,,1357,6700,,, eSim(0.01)=93.82%, eSim(0.2)=97.19%, eSim(2.5)=99.72%, eSim(>=2.5)=0.28%
10.0.31.227,10.1.196.100,,,19747,80,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.4.41,10.1.204.121,,,63669,1605,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.85,10.0.164.129,,,6667,1053,,, eSim(0.01)=0.00%, eSim(0.2)=37.50%, eSim(2.5)=87.50%, eSim(>=2.5)=12.50%
10.0.2.86,10.0.20.217,,,4140,25,,, eSim(0.01)=0.00%, eSim(0.2)=22.22%, eSim(2.5)=88.89%, eSim(>=2.5)=11.11%
10.0.2.86,10.0.20.217,,,4140,25,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=0.00%, eSim(>=2.5)=100.00%
10.0.2.86,10.0.20.217,,,4140,25,,, eSim(0.01)=12.50%, eSim(0.2)=12.50%, eSim(2.5)=62.50%, eSim(>=2.5)=37.50%
10.0.0.75,10.1.243.67,,,4839,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.75,10.1.243.67,,,4839,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.5.107,10.0.34.146,,,80,3265,,, eSim(0.01)=71.88%, eSim(0.2)=71.88%, eSim(2.5)=96.88%, eSim(>=2.5)=3.12%
10.0.5.107,10.0.34.146,,,80,3265,,, eSim(0.01)=76.92%, eSim(0.2)=76.92%, eSim(2.5)=92.31%, eSim(>=2.5)=7.69%
10.0.5.107,10.0.34.146,,,80,2079,,, no or not enough (<=2) retransmissions existent
10.0.5.107,10.0.34.146,,,80,2079,,, no or not enough (<=2) retransmissions existent
10.0.30.68,10.2.39.168,,,1526,80,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.2.107,10.0.217.178,,,80,2367,,, eSim(0.01)=25.00%, eSim(0.2)=50.00%, eSim(2.5)=75.00%, eSim(>=2.5)=25.00%
10.0.2.53,10.1.27.100,,,34385,20,,, eSim(0.01)=21.43%, eSim(0.2)=50.00%, eSim(2.5)=92.86%, eSim(>=2.5)=7.14%
10.0.2.53,10.1.27.100,,,34708,20,,, eSim(0.01)=11.11%, eSim(0.2)=33.33%, eSim(2.5)=88.89%, eSim(>=2.5)=11.11%
10.0.2.53,10.1.27.100,,,35416,20,,, eSim(0.01)=55.26%, eSim(0.2)=73.68%, eSim(2.5)=97.37%, eSim(>=2.5)=2.63%
10.0.2.53,10.1.27.100,,,35925,20,,, eSim(0.01)=12.50%, eSim(0.2)=25.00%, eSim(2.5)=87.50%, eSim(>=2.5)=12.50%
10.0.2.53,10.1.27.100,,,36338,20,,, eSim(0.01)=0.00%, eSim(0.2)=20.00%, eSim(2.5)=80.00%, eSim(>=2.5)=20.00%
10.0.2.53,10.1.27.100,,,36338,20,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.2.53,10.1.27.100,,,36338,20,,, eSim(0.01)=36.36%, eSim(0.2)=36.36%, eSim(2.5)=81.82%, eSim(>=2.5)=18.18%
10.0.2.53,10.1.27.100,,,36338,20,,, no or not enough (<=2) retransmissions existent
10.0.12.186,10.0.46.176,,,48797,25,,, no or not enough (<=2) retransmissions existent
10.0.12.186,10.0.46.176,,,48797,25,,, no or not enough (<=2) retransmissions existent
10.0.8.37,10.0.47.49,,,119,1075,,, eSim(0.01)=71.24%, eSim(0.2)=95.42%, eSim(2.5)=99.35%, eSim(>=2.5)=0.65%
10.0.1.174,10.2.184.142,,,110,1142,,, eSim(0.01)=34.78%, eSim(0.2)=52.17%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=95.11%, eSim(0.2)=99.88%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=95.52%, eSim(0.2)=99.88%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=96.10%, eSim(0.2)=99.94%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=95.27%, eSim(0.2)=99.94%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.19,10.0.0.20,,,119,2511,,, eSim(0.01)=96.07%, eSim(0.2)=99.88%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.78.124,10.5.84.180,,,6699,2649,,, eSim(0.01)=76.56%, eSim(0.2)=89.06%, eSim(2.5)=96.88%, eSim(>=2.5)=3.12%
10.1.121.4,10.1.212.239,,,1854,4000,,, eSim(0.01)=98.42%, eSim(0.2)=99.70%, eSim(2.5)=99.92%, eSim(>=2.5)=0.08%
