64.50.236.52,143.93.190.252,,,80,59402,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59402,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59402,,, no or not enough (<=2) retransmissions existent
64.50.236.52,143.93.190.252,,,80,59402,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59567,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59567,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59567,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59567,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59543,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59543,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59543,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59543,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59522,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59522,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59522,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59522,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59513,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59513,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59513,,, no or not enough (<=2) retransmissions existent
128.30.2.26,143.93.190.252,,,80,59539,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59539,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59539,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59350,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59350,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59350,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59350,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59462,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59462,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59462,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59383,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59383,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59383,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59383,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59329,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59329,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59329,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59329,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
208.80.154.15,143.93.190.252,,,80,59493,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
208.80.154.15,143.93.190.252,,,80,59493,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
208.80.154.15,143.93.190.252,,,80,59493,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59324,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59324,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59324,,, no or not enough (<=2) retransmissions existent
141.76.2.4,143.93.190.252,,,80,59324,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59488,,, eSim(0.01)=99.11%, eSim(0.2)=99.11%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59488,,, eSim(0.01)=99.02%, eSim(0.2)=99.02%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59488,,, eSim(0.01)=99.26%, eSim(0.2)=99.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59488,,, eSim(0.01)=99.26%, eSim(0.2)=99.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59527,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59527,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59527,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59527,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59446,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59446,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59446,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59446,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59364,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59364,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59364,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59390,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59390,,, eSim(0.01)=0.00%, eSim(0.2)=0.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59390,,, no or not enough (<=2) retransmissions existent
130.225.254.116,143.93.190.252,,,80,59390,,, eSim(0.01)=75.00%, eSim(0.2)=75.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59428,,, eSim(0.01)=97.62%, eSim(0.2)=98.21%, eSim(2.5)=99.70%, eSim(>=2.5)=0.30%
93.187.162.100,143.93.190.252,,,80,59428,,, eSim(0.01)=99.70%, eSim(0.2)=99.70%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59428,,, eSim(0.01)=99.49%, eSim(0.2)=99.49%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59428,,, eSim(0.01)=99.21%, eSim(0.2)=99.21%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59428,,, eSim(0.01)=97.86%, eSim(0.2)=98.21%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59509,,, eSim(0.01)=98.87%, eSim(0.2)=98.87%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59509,,, eSim(0.01)=98.92%, eSim(0.2)=98.92%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59509,,, eSim(0.01)=98.89%, eSim(0.2)=98.89%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59509,,, eSim(0.01)=98.85%, eSim(0.2)=98.85%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, eSim(0.01)=78.26%, eSim(0.2)=78.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, eSim(0.01)=90.00%, eSim(0.2)=90.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.233.100,143.93.190.252,,,80,59555,,, eSim(0.01)=68.00%, eSim(0.2)=76.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=65.22%, eSim(0.2)=78.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=90.00%, eSim(0.2)=90.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=84.00%, eSim(0.2)=84.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59477,,, eSim(0.01)=91.18%, eSim(0.2)=91.18%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=99.41%, eSim(0.2)=99.41%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=98.20%, eSim(0.2)=98.50%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=96.84%, eSim(0.2)=98.02%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
93.187.162.100,143.93.190.252,,,80,59395,,, eSim(0.01)=95.48%, eSim(0.2)=97.74%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59539,,, eSim(0.01)=73.91%, eSim(0.2)=78.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59539,,, eSim(0.01)=86.67%, eSim(0.2)=86.67%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59539,,, eSim(0.01)=76.00%, eSim(0.2)=80.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59340,,, eSim(0.01)=60.87%, eSim(0.2)=69.57%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59340,,, eSim(0.01)=86.67%, eSim(0.2)=86.67%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59340,,, eSim(0.01)=84.00%, eSim(0.2)=84.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
128.30.2.26,143.93.190.252,,,80,59340,,, eSim(0.01)=91.18%, eSim(0.2)=91.18%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=73.91%, eSim(0.2)=78.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=90.00%, eSim(0.2)=90.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=72.00%, eSim(0.2)=84.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
141.76.2.4,143.93.190.252,,,80,59498,,, eSim(0.01)=82.35%, eSim(0.2)=91.18%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=69.57%, eSim(0.2)=82.61%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=90.00%, eSim(0.2)=90.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=84.00%, eSim(0.2)=84.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
64.50.236.52,143.93.190.252,,,80,59317,,, eSim(0.01)=88.24%, eSim(0.2)=88.24%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
130.225.254.116,143.93.190.252,,,80,59527,,, eSim(0.01)=78.26%, eSim(0.2)=78.26%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
