127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.80%, eSim(0.008)=99.80%, eSim(0.01)=99.80%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
127.0.0.1,127.0.0.2,,,, eSim(0.005)=99.85%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
127.0.0.2,127.0.0.1,,,, eSim(0.005)=99.75%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.90%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.90%, eSim(0.008)=99.90%, eSim(0.01)=99.90%, eSim(0.02)=99.90%, eSim(0.03)=99.90%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.117,143.93.191.118,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.191.118,143.93.191.117,,,, eSim(0.005)=99.95%, eSim(0.008)=99.95%, eSim(0.01)=99.95%, eSim(0.02)=99.95%, eSim(0.03)=99.95%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.247.87,91.121.132.198,,,, eSim(0.005)=99.30%, eSim(0.008)=99.35%, eSim(0.01)=99.55%, eSim(0.02)=99.70%, eSim(0.03)=99.75%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
91.121.132.198,143.93.247.87,,,, eSim(0.005)=99.25%, eSim(0.008)=99.30%, eSim(0.01)=99.50%, eSim(0.02)=99.65%, eSim(0.03)=99.80%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
143.93.247.87,91.121.132.198,,,, eSim(0.005)=97.05%, eSim(0.008)=97.85%, eSim(0.01)=98.25%, eSim(0.02)=99.05%, eSim(0.03)=99.30%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
91.121.132.198,143.93.247.87,,,, eSim(0.005)=97.00%, eSim(0.008)=97.90%, eSim(0.01)=98.20%, eSim(0.02)=99.05%, eSim(0.03)=99.30%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
143.93.247.87,91.121.132.198,,,, eSim(0.005)=99.80%, eSim(0.008)=99.85%, eSim(0.01)=99.85%, eSim(0.02)=99.85%, eSim(0.03)=99.85%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
