10.0.31.99,10.1.30.51,,,, eSim(0.005)=93.05%, eSim(0.008)=95.10%, eSim(0.01)=95.65%, eSim(0.02)=97.70%, eSim(0.03)=98.40%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.27,10.0.5.160,,,, eSim(0.005)=94.25%, eSim(0.008)=95.60%, eSim(0.01)=96.00%, eSim(0.02)=97.25%, eSim(0.03)=97.90%, eSim(0.1)=99.05%, eSim(>=0.1)=0.95%
10.0.0.91,10.4.91.172,,,, eSim(0.005)=71.79%, eSim(0.008)=82.69%, eSim(0.01)=87.44%, eSim(0.02)=95.35%, eSim(0.03)=97.25%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.8,10.2.171.72,,,, eSim(0.005)=93.70%, eSim(0.008)=96.20%, eSim(0.01)=96.95%, eSim(0.02)=98.30%, eSim(0.03)=98.65%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.203.22,10.4.88.0,,,, eSim(0.005)=76.94%, eSim(0.008)=86.74%, eSim(0.01)=90.35%, eSim(0.02)=95.55%, eSim(0.03)=97.30%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.97.193,10.2.176.170,,,, eSim(0.005)=81.14%, eSim(0.008)=89.44%, eSim(0.01)=91.35%, eSim(0.02)=96.80%, eSim(0.03)=98.00%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.1.238.124,10.4.146.145,,,, eSim(0.005)=68.08%, eSim(0.008)=79.94%, eSim(0.01)=84.24%, eSim(0.02)=93.90%, eSim(0.03)=96.00%, eSim(0.1)=99.15%, eSim(>=0.1)=0.85%
10.3.36.116,10.3.199.158,,,, eSim(0.005)=83.39%, eSim(0.008)=89.39%, eSim(0.01)=92.60%, eSim(0.02)=96.75%, eSim(0.03)=97.40%, eSim(0.1)=98.65%, eSim(>=0.1)=1.35%
10.0.2.122,10.0.43.204,,,, eSim(0.005)=89.09%, eSim(0.008)=94.55%, eSim(0.01)=96.30%, eSim(0.02)=98.60%, eSim(0.03)=99.15%, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%
10.0.0.250,10.0.38.197,,,, eSim(0.005)=73.99%, eSim(0.008)=83.34%, eSim(0.01)=87.84%, eSim(0.02)=95.10%, eSim(0.03)=96.55%, eSim(0.1)=99.05%, eSim(>=0.1)=0.95%
10.0.35.40,10.3.74.18,,,, eSim(0.005)=76.29%, eSim(0.008)=86.64%, eSim(0.01)=90.25%, eSim(0.02)=95.25%, eSim(0.03)=97.30%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.2.50,10.5.70.221,,,, eSim(0.005)=78.59%, eSim(0.008)=87.44%, eSim(0.01)=91.20%, eSim(0.02)=96.05%, eSim(0.03)=97.40%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.0.91,10.0.101.180,,,, eSim(0.005)=73.29%, eSim(0.008)=85.09%, eSim(0.01)=88.99%, eSim(0.02)=96.15%, eSim(0.03)=97.90%, eSim(0.1)=99.10%, eSim(>=0.1)=0.90%
10.0.0.91,10.1.212.34,,,, eSim(0.005)=72.24%, eSim(0.008)=83.74%, eSim(0.01)=87.94%, eSim(0.02)=94.95%, eSim(0.03)=97.25%, eSim(0.1)=99.15%, eSim(>=0.1)=0.85%
10.0.0.29,10.2.60.10,,,, eSim(0.005)=91.75%, eSim(0.008)=94.65%, eSim(0.01)=95.45%, eSim(0.02)=97.60%, eSim(0.03)=98.30%, eSim(0.1)=99.25%, eSim(>=0.1)=0.75%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=94.65%, eSim(0.008)=96.35%, eSim(0.01)=96.95%, eSim(0.02)=98.45%, eSim(0.03)=98.95%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=93.25%, eSim(0.008)=95.85%, eSim(0.01)=96.40%, eSim(0.02)=97.80%, eSim(0.03)=98.50%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=93.75%, eSim(0.008)=96.10%, eSim(0.01)=96.55%, eSim(0.02)=98.00%, eSim(0.03)=98.70%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=94.15%, eSim(0.008)=95.85%, eSim(0.01)=96.35%, eSim(0.02)=98.10%, eSim(0.03)=98.45%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=94.45%, eSim(0.008)=96.65%, eSim(0.01)=97.20%, eSim(0.02)=98.30%, eSim(0.03)=98.75%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=93.60%, eSim(0.008)=95.45%, eSim(0.01)=96.55%, eSim(0.02)=97.95%, eSim(0.03)=98.60%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=92.70%, eSim(0.008)=94.80%, eSim(0.01)=95.70%, eSim(0.02)=97.85%, eSim(0.03)=98.40%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.108,10.1.122.56,,,, eSim(0.005)=93.75%, eSim(0.008)=95.55%, eSim(0.01)=96.35%, eSim(0.02)=98.00%, eSim(0.03)=98.50%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=93.65%, eSim(0.008)=95.90%, eSim(0.01)=96.50%, eSim(0.02)=98.30%, eSim(0.03)=98.65%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=92.55%, eSim(0.008)=95.25%, eSim(0.01)=96.15%, eSim(0.02)=98.25%, eSim(0.03)=98.75%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=94.20%, eSim(0.008)=95.90%, eSim(0.01)=96.45%, eSim(0.02)=97.95%, eSim(0.03)=98.55%, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=92.45%, eSim(0.008)=95.25%, eSim(0.01)=95.95%, eSim(0.02)=97.45%, eSim(0.03)=98.15%, eSim(0.1)=99.30%, eSim(>=0.1)=0.70%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=92.20%, eSim(0.008)=94.60%, eSim(0.01)=95.80%, eSim(0.02)=97.70%, eSim(0.03)=98.15%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.0.108,10.1.157.108,,,, eSim(0.005)=93.55%, eSim(0.008)=95.45%, eSim(0.01)=96.30%, eSim(0.02)=98.00%, eSim(0.03)=98.55%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=85.64%, eSim(0.008)=92.00%, eSim(0.01)=93.75%, eSim(0.02)=97.45%, eSim(0.03)=98.70%, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=83.79%, eSim(0.008)=91.85%, eSim(0.01)=93.95%, eSim(0.02)=97.75%, eSim(0.03)=98.60%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=83.64%, eSim(0.008)=91.00%, eSim(0.01)=93.35%, eSim(0.02)=98.00%, eSim(0.03)=98.75%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=82.94%, eSim(0.008)=91.90%, eSim(0.01)=93.95%, eSim(0.02)=97.90%, eSim(0.03)=98.70%, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=85.64%, eSim(0.008)=92.10%, eSim(0.01)=94.15%, eSim(0.02)=98.00%, eSim(0.03)=98.80%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=83.79%, eSim(0.008)=91.90%, eSim(0.01)=94.55%, eSim(0.02)=98.20%, eSim(0.03)=98.80%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=84.39%, eSim(0.008)=92.35%, eSim(0.01)=95.00%, eSim(0.02)=98.00%, eSim(0.03)=98.70%, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%
10.0.2.53,10.1.27.100,,,, eSim(0.005)=83.09%, eSim(0.008)=91.00%, eSim(0.01)=93.65%, eSim(0.02)=98.15%, eSim(0.03)=98.75%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.33.168,10.0.219.217,,,, eSim(0.005)=77.14%, eSim(0.008)=85.99%, eSim(0.01)=89.39%, eSim(0.02)=95.80%, eSim(0.03)=97.40%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.33.168,10.0.219.217,,,, eSim(0.005)=77.19%, eSim(0.008)=85.74%, eSim(0.01)=89.14%, eSim(0.02)=95.35%, eSim(0.03)=97.50%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.4.168.99,10.5.78.21,,,, eSim(0.005)=78.89%, eSim(0.008)=88.84%, eSim(0.01)=91.55%, eSim(0.02)=96.85%, eSim(0.03)=97.90%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.4.251,10.0.4.252,,,, eSim(0.005)=84.54%, eSim(0.008)=88.84%, eSim(0.01)=90.35%, eSim(0.02)=94.20%, eSim(0.03)=95.90%, eSim(0.1)=98.90%, eSim(>=0.1)=1.10%
10.0.78.194,10.4.129.148,,,, eSim(0.005)=97.45%, eSim(0.008)=98.55%, eSim(0.01)=98.80%, eSim(0.02)=99.45%, eSim(0.03)=99.60%, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%
10.0.78.194,10.4.129.148,,,, eSim(0.005)=95.60%, eSim(0.008)=97.25%, eSim(0.01)=97.95%, eSim(0.02)=98.90%, eSim(0.03)=99.10%, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%
10.0.11.86,10.2.82.23,,,, eSim(0.005)=77.74%, eSim(0.008)=86.64%, eSim(0.01)=89.29%, eSim(0.02)=94.45%, eSim(0.03)=96.20%, eSim(0.1)=98.90%, eSim(>=0.1)=1.10%
10.0.6.136,10.1.211.184,,,, eSim(0.005)=91.65%, eSim(0.008)=94.05%, eSim(0.01)=95.25%, eSim(0.02)=97.65%, eSim(0.03)=98.35%, eSim(0.1)=99.15%, eSim(>=0.1)=0.85%
10.0.6.136,10.1.211.184,,,, eSim(0.005)=95.45%, eSim(0.008)=97.05%, eSim(0.01)=97.65%, eSim(0.02)=98.65%, eSim(0.03)=99.25%, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%
10.0.6.136,10.1.211.184,,,, eSim(0.005)=93.20%, eSim(0.008)=95.65%, eSim(0.01)=96.55%, eSim(0.02)=98.60%, eSim(0.03)=99.30%, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%
10.0.10.3,10.0.109.142,,,, eSim(0.005)=90.85%, eSim(0.008)=95.00%, eSim(0.01)=96.60%, eSim(0.02)=98.65%, eSim(0.03)=99.05%, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%
10.0.8.37,10.0.16.61,,,, eSim(0.005)=86.44%, eSim(0.008)=92.05%, eSim(0.01)=93.65%, eSim(0.02)=96.45%, eSim(0.03)=97.25%, eSim(0.1)=98.80%, eSim(>=0.1)=1.20%
10.0.8.37,10.0.16.61,,,, eSim(0.005)=86.44%, eSim(0.008)=92.60%, eSim(0.01)=94.15%, eSim(0.02)=96.80%, eSim(0.03)=97.75%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
