ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,mqtt.topic,mqtt.msgtype,mqtt.clientid,mqtt.disconnect.reason_code
"6",,"62","0.709775312","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"32208",,,,
"6",,"63","0.709875614","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"33616",,,,
"6",,"64","0.709931392","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"65","0.709981298","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"35024",,,,
"6",,"66","0.710081600","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"36432",,,,
"6",,"67","0.710190708","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"37840",,,,
"6",,"68","0.710199515","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"39248",,,,
"6",,"69","0.710254804","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"70","0.740993126","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"40656",,,,
"6",,"71","0.741031289","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"42064",,,,
"6",,"72","0.741058689","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"73","0.747981955","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"43472",,,,
"6",,"74","0.748070514","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"44880",,,,
"6",,"75","0.748097424","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"76","0.748169837","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"46288",,,,
"6",,"77","0.748278456","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"47696",,,,
"6",,"78","0.748809322","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"79","0.752005767","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"49104",,,,
"6",,"80","0.752045887","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"50512",,,,
"6",,"81","0.752098729","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"82","0.752128575","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"51920",,,,
"6",,"83","0.752148636","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"53328",,,,
"6",,"84","0.752155485","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"54736",,,,
"6",,"85","0.752162335","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"56144",,,,
"6",,"86","0.752168696","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"57552",,,,
"6",,"87","0.752175546","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"58960",,,,
"6",,"88","0.752183863","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"60368",,,,
"6",,"89","0.752190713","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"61776",,,,
"6",,"90","0.752760231","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
